;Classifier;Exp. Group;Ratio Men;Prob Men;Prob Women;Prob Diff;Informativeness Diff;Lower Bound Bias;Mean Bias;Upper Bound Bias;Width_Confidence_Intervall;SD Bias;Significant_Bias
150;SVM_noSex;3;0.50;0.05;0.35;0.30;0.30;0.1430821958447945;0.14591636363636365;0.1487505314279328;0.005668335583138261;0.000728608162892232;Yes
151;SVM_noSex;4;0.50;0.05;0.50;0.45;0.45;0.15456811261147074;0.1580290909090909;0.16149006920671105;0.006921956595240329;0.0008897486756924794;Yes
152;SVM_noSex;5;0.50;0.20;0.05;-0.15;-0.15;-0.09701345210354977;-0.09492727272727272;-0.09284109335099568;0.00417235875255409;0.0005363152200566544;Yes
153;SVM_noSex;6;0.50;0.20;0.20;0.00;0.00;-0.001361921842352607;0.0011709090909090907;0.0037037400241707883;0.0050656618665233955;0.0006511404507136463;No
154;SVM_noSex;7;0.50;0.20;0.35;0.15;0.15;0.0507618540353783;0.05392363636363636;0.05708541869189442;0.006323564656516126;0.0008128313434758896;Yes
155;SVM_noSex;8;0.50;0.20;0.50;0.30;0.30;0.06473732675545445;0.06880363636363636;0.07286994597181827;0.008132619216363818;0.0010453673145894213;Yes
156;SVM_noSex;9;0.50;0.20;0.65;0.45;0.15;0.04740183876421042;0.05103636363636364;0.054670888508516854;0.0072690497443064364;0.0009343640478743645;Yes
157;SVM_noSex;10;0.50;0.35;0.05;-0.30;-0.30;-0.14526707248837029;-0.1421090909090909;-0.13895110932981153;0.00631596315855875;0.0008118542465166997;Yes
158;SVM_noSex;11;0.50;0.35;0.20;-0.15;-0.15;-0.05111952566143874;-0.04759636363636363;-0.04407320161128852;0.007046324050150222;0.000905734875083185;Yes
159;SVM_noSex;12;0.50;0.35;0.35;0.00;0.00;0.0035217969145615448;0.007032727272727273;0.010543657630893;0.007021860716331456;0.0009025903568290202;Yes
160;SVM_noSex;13;0.50;0.35;0.50;0.15;0.15;0.016774223693531404;0.02071272727272727;0.02465123085192314;0.007877007158391737;0.001012510926812001;Yes
161;SVM_noSex;14;0.50;0.35;0.65;0.30;0.00;-0.0006206721560759266;0.0028218181818181823;0.006264308519712291;0.006884980675788218;0.0008849957890032375;No
162;SVM_noSex;15;0.50;0.35;0.80;0.45;-0.15;-0.05250718835960825;-0.04886545454545454;-0.04522372073130083;0.007283467628307417;0.0009362173234648213;Yes
163;SVM_noSex;16;0.50;0.50;0.05;-0.45;-0.45;-0.1571635818533255;-0.1539090909090909;-0.15065459996485633;0.006508981888469148;0.0008366648845145905;Yes
164;SVM_noSex;17;0.50;0.50;0.20;-0.30;-0.30;-0.06603592161982044;-0.06236363636363636;-0.05869135110745228;0.007344570512368161;0.0009440714914917374;Yes
165;SVM_noSex;18;0.50;0.50;0.35;-0.15;-0.15;-0.014466839532506773;-0.010327272727272727;-0.006187705922038679;0.008279133610468095;0.001064200282743802;Yes
